prov,fecha,casos_tot,dup
Salta,2020-03-26,1,100
San_Juan,2020-03-26,0,NA
San_Luis,2020-03-26,5,100
Santa_Cruz,2020-03-26,9,100
Santa_Fe,2020-03-26,53,1.0221997925031072
Santiago_del_Estero,2020-03-26,1,100
Tierra_del_fuego,2020-03-26,14,2.985594496438991
Tucuman,2020-03-26,9,2.021715388353134
Buenos_Aires,2020-03-27,188,3.1040173574007457
CABA,2020-03-27,226,3.947567554455607
Catamarca,2020-03-27,0,NA
Chaco,2020-03-27,55,3.455442234035245
Chubut,2020-03-27,0,NA
Cordoba,2020-03-27,57,3.1054948022240274
Corrientes,2020-03-27,3,100
Entre_Rios,2020-03-27,11,100
Formosa,2020-03-27,0,NA
Jujuy,2020-03-27,3,100
La_Pampa,2020-03-27,1,100
La_Rioja,2020-03-27,0,NA
Mendoza,2020-03-27,8,100
Misiones,2020-03-27,2,100
Neuquen,2020-03-27,11,2.334694323928408
Rio_Negro,2020-03-27,7,100
Salta,2020-03-27,1,100
San_Juan,2020-03-27,0,NA
San_Luis,2020-03-27,5,100
Santa_Cruz,2020-03-27,9,1.5007788026867874
Santa_Fe,2020-03-27,62,1.2307059729529009
Santiago_del_Estero,2020-03-27,2,100
Tierra_del_fuego,2020-03-27,14,4.044449101552174
Tucuman,2020-03-27,15,3.278899093715192
Buenos_Aires,2020-03-28,196,3.1621910945733056
CABA,2020-03-28,244,3.979736856020584
Catamarca,2020-03-28,0,NA
Chaco,2020-03-28,60,4.37173471028587
Chubut,2020-03-28,0,NA
Cordoba,2020-03-28,57,4.088229622316209
Corrientes,2020-03-28,7,100
Entre_Rios,2020-03-28,11,4.398649943581504
Formosa,2020-03-28,0,NA
Jujuy,2020-03-28,3,100
La_Pampa,2020-03-28,1,100
La_Rioja,2020-03-28,0,NA
Mendoza,2020-03-28,9,6.0365110441232375
Misiones,2020-03-28,2,100
Neuquen,2020-03-28,13,1.965936662967383
Rio_Negro,2020-03-28,7,100
Salta,2020-03-28,1,100
San_Juan,2020-03-28,0,NA
San_Luis,2020-03-28,6,1.928188456444228
Santa_Cruz,2020-03-28,9,1.5538678816370561
Santa_Fe,2020-03-28,75,1.4492788031394486
Santiago_del_Estero,2020-03-28,2,100
Tierra_del_fuego,2020-03-28,18,3.6434142713462343
Tucuman,2020-03-28,15,4.777954425066805
Buenos_Aires,2020-03-29,217,3.546070864355074
CABA,2020-03-29,258,4.342128881037956
Catamarca,2020-03-29,0,NA
Chaco,2020-03-29,69,5.337626588652116
Chubut,2020-03-29,0,NA
Cordoba,2020-03-29,73,4.4493360124828305
Corrientes,2020-03-29,9,100
Entre_Rios,2020-03-29,10,4.882779576202416
Formosa,2020-03-29,0,NA
Jujuy,2020-03-29,3,100
La_Pampa,2020-03-29,3,100
La_Rioja,2020-03-29,1,NA
Mendoza,2020-03-29,10,5.585702671198998
Misiones,2020-03-29,2,100
Neuquen,2020-03-29,12,1.9357744632236031
Rio_Negro,2020-03-29,8,100
Salta,2020-03-29,1,100
San_Juan,2020-03-29,1,NA
San_Luis,2020-03-29,6,2.166375720513433
Santa_Cruz,2020-03-29,9,100
Santa_Fe,2020-03-29,90,2.326743617533214
Santiago_del_Estero,2020-03-29,2,100
Tierra_del_fuego,2020-03-29,21,3.873820608746673
Tucuman,2020-03-29,15,4.538052371600023
Buenos_Aires,2020-03-30,253,4.678828291049096
CABA,2020-03-30,292,5.224847931497502
Catamarca,2020-03-30,0,NA
Chaco,2020-03-30,81,6.053524601257812
Chubut,2020-03-30,0,NA
Cordoba,2020-03-30,81,5.355221333796313
Corrientes,2020-03-30,19,1.2502943507897208
Entre_Rios,2020-03-30,13,5.344712298940346
Formosa,2020-03-30,0,NA
Jujuy,2020-03-30,3,100
La_Pampa,2020-03-30,3,100
La_Rioja,2020-03-30,1,NA
Mendoza,2020-03-30,13,4.624829545833332
Misiones,2020-03-30,2,100
Neuquen,2020-03-30,20,2.281262271098717
Rio_Negro,2020-03-30,8,4.899369368014789
Salta,2020-03-30,1,100
San_Juan,2020-03-30,1,NA
San_Luis,2020-03-30,6,8.907650040245368
Santa_Cruz,2020-03-30,9,100
Santa_Fe,2020-03-30,111,3.437877652155638
Santiago_del_Estero,2020-03-30,2,100
Tierra_del_fuego,2020-03-30,32,4.094262468247174
Tucuman,2020-03-30,15,100
Buenos_Aires,2020-03-31,270,5.601139222101497
CABA,2020-03-31,311,6.074482022882091
Catamarca,2020-03-31,0,NA
Chaco,2020-03-31,84,7.108749564229029
Chubut,2020-03-31,0,NA
Cordoba,2020-03-31,95,6.099640542542075
Corrientes,2020-03-31,20,1.2247308905922218
Entre_Rios,2020-03-31,13,8.23627928929625
Formosa,2020-03-31,0,NA
Jujuy,2020-03-31,3,100
La_Pampa,2020-03-31,3,100
La_Rioja,2020-03-31,1,NA
Mendoza,2020-03-31,15,4.5419817249572185
Misiones,2020-03-31,3,100
Neuquen,2020-03-31,20,2.766672247671526
Rio_Negro,2020-03-31,9,4.854681948292151
Salta,2020-03-31,1,100
San_Juan,2020-03-31,1,NA
San_Luis,2020-03-31,6,100
Santa_Cruz,2020-03-31,9,100
Santa_Fe,2020-03-31,133,3.585621878958682
Santiago_del_Estero,2020-03-31,2,100
Tierra_del_fuego,2020-03-31,39,3.314329419317707
Tucuman,2020-03-31,16,100
Buenos_Aires,2020-04-01,280,6.901985368508775
CABA,2020-04-01,321,7.863784638853542
Catamarca,2020-04-01,0,NA
Chaco,2020-04-01,96,6.523034831325838
Chubut,2020-04-01,0,NA
Cordoba,2020-04-01,101,5.928205789271503
Corrientes,2020-04-01,21,1.393627218108518
Entre_Rios,2020-04-01,14,8.895300369662886
Formosa,2020-04-01,0,NA
Jujuy,2020-04-01,3,100
La_Pampa,2020-04-01,3,100
La_Rioja,2020-04-01,1,100
